epoch,lr,loss,iou,val_loss,val_iou
0.0,0.0003,0.6420980421272484,0.8719758653113562,0.5072065886613485,0.9345325571550313
1.0,0.0003,0.39683018681165333,0.9413297139343894,0.32761615579192704,0.9062842741233067
2.0,0.0003,0.2393274244424459,0.9413141703515621,0.19040362424141652,0.9437793022148491
3.0,0.0003,0.15577737092971802,0.9419994966160906,0.1354653724142023,0.9415436912287088
4.0,0.0003,0.11506904891213855,0.9422461582840785,0.1099295610108891,0.9267508845501952
5.0,0.0003,0.0932201558673704,0.9467949681706287,0.08715313028644871,0.9508864058093599
6.0,0.0003,0.08127415691678588,0.9511815770910375,0.07716337675983842,0.9572096161060444
7.0,0.0003,0.07387952051452688,0.9557279064698636,0.07169838092617087,0.9520166994487314
8.0,0.0003,0.06948067791558601,0.956465266105991,0.06779912238990939,0.9573211646333618
9.0,0.0003,0.06601162597134307,0.9595442085161955,0.0649977702546764,0.9632564326491939
10.0,0.0003,0.06369272867167318,0.9611924328805395,0.0629110149435095,0.961533102032955
11.0,0.0003,0.06173859953477576,0.964577398954597,0.061264443598889017,0.9606175163161813
12.0,0.0003,0.07700924071911219,0.9378309941508707,0.11187738703714835,0.8786454478840322
13.0,0.0003,0.0780392759957829,0.9117484603077335,0.0717021052096341,0.914057615649536
14.0,0.0003,0.06957165316955463,0.922197571497205,0.0687623465383375,0.919008836593094
15.0,0.0003,0.06671798124506667,0.925734632312352,0.06620620883799888,0.9296022819038459
16.0,0.0003,0.06397267330337215,0.9299911617659261,0.06355911038211874,0.934022439428895
17.0,0.0003,0.062289741272861895,0.9336405490587272,0.061708709879501444,0.9349591399352691
18.0,0.0003,0.06075933547438802,0.9372187453255351,0.060932223216907395,0.9341885946421806
19.0,0.0003,0.06033873276130573,0.938559240410729,0.060018739990285924,0.9435623308749951
20.0,0.0003,0.05930999463071694,0.941730371399047,0.05903328254416182,0.9396510544365747
